"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\4108231\Desktop\project_ie\backend\config\dbConfig.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 4, 29
"c:\Users\4108231\Desktop\project_ie\backend\package-lock.json", "JSON", 0, 4427, 0, 0, 0, 0, 0, 0, 1, 4428
"c:\Users\4108231\Desktop\project_ie\backend\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\4108231\Desktop\project_ie\backend\routes\contact.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 20, 18, 134
"c:\Users\4108231\Desktop\project_ie\backend\routes\gantt.js", "JavaScript", 258, 0, 0, 0, 0, 0, 0, 32, 59, 349
"c:\Users\4108231\Desktop\project_ie\backend\routes\trainingCarousel.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 8, 18, 128
"c:\Users\4108231\Desktop\project_ie\backend\routes\users.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\4108231\Desktop\project_ie\backend\server.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 5, 9, 45
"c:\Users\4108231\Desktop\project_ie\my-vite-app\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\4108231\Desktop\project_ie\my-vite-app\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\4108231\Desktop\project_ie\my-vite-app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\4108231\Desktop\project_ie\my-vite-app\package-lock.json", "JSON", 0, 9762, 0, 0, 0, 0, 0, 0, 1, 9763
"c:\Users\4108231\Desktop\project_ie\my-vite-app\package.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\4108231\Desktop\project_ie\my-vite-app\public\jabil2.svg", "XML", 0, 0, 0, 0, 0, 28, 0, 1, 1, 30
"c:\Users\4108231\Desktop\project_ie\my-vite-app\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\App.css", "PostCSS", 0, 0, 0, 110, 0, 0, 0, 15, 24, 149
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\App.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 0, 12, 122
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\NavBar\DesktopNavigation.jsx", "JavaScript JSX", 0, 0, 251, 0, 0, 0, 0, 18, 27, 296
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\NavBar\LogoComponent.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 3, 4, 41
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\NavBar\MobileDrawer.jsx", "JavaScript JSX", 0, 0, 333, 0, 0, 0, 0, 23, 26, 382
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\NavBar\UserDropdown.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 7, 15, 177
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\NavBar\authUtils.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 8, 9, 51
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminDashboard\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 0, 6, 10, 87
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminNavbar\AdminNavbar.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 5, 8, 116
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminNavbar\Notifications .css", "PostCSS", 0, 0, 0, 35, 0, 0, 0, 4, 6, 45
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminNavbar\Notifications.jsx", "JavaScript JSX", 0, 0, 179, 0, 0, 0, 0, 4, 11, 194
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminTCCS\AdminTCCS.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminTrainingSharedComponent\AdminTrainingCarousel\AdminTrainingCarousel.jsx", "JavaScript JSX", 0, 0, 97, 0, 0, 0, 0, 7, 17, 121
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminTrainingSharedComponent\AdminTrainingCarousel\CarouselForm.jsx", "JavaScript JSX", 0, 0, 418, 0, 0, 0, 0, 15, 17, 450
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminTrainingSharedComponent\AdminTrainingCarousel\CarouselHeader.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminTrainingSharedComponent\AdminTrainingCarousel\CarouselList.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 4, 8, 142
